V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
-122.23;452600.0;129.0;41.0;880.0;D;126.0;322.0;83.252;37.88
-122.22;358500.0;1106.0;21.0;7099.0;D;1138.0;2401.0;83.014;37.86
-122.24;352100.0;190.0;52.0;1467.0;D;177.0;496.0;72.574;37.85
-122.25;341300.0;235.0;52.0;1274.0;D;219.0;558.0;56.431;37.85
-122.25;342200.0;280.0;52.0;1627.0;D;259.0;565.0;38.462;37.85
-122.25;269700.0;213.0;52.0;919.0;D;193.0;413.0;40.368;37.85
-122.25;299200.0;489.0;52.0;2535.0;D;514.0;1094.0;36.591;37.84
-122.25;241400.0;687.0;52.0;3104.0;D;647.0;1157.0;3.12;37.84
-122.26;226700.0;665.0;42.0;2555.0;D;595.0;1206.0;20.804;37.84
-122.25;261100.0;707.0;52.0;3549.0;D;714.0;1551.0;36.912;37.84
-122.26;281500.0;434.0;52.0;2202.0;D;402.0;910.0;32.031;37.85
-122.26;241800.0;752.0;52.0;3503.0;D;734.0;1504.0;32.705;37.85
-122.26;213500.0;474.0;52.0;2491.0;D;468.0;1098.0;3.075;37.85
-122.26;191300.0;191.0;52.0;696.0;D;174.0;345.0;26.736;37.84
-122.26;159200.0;626.0;52.0;2643.0;D;620.0;1212.0;19.167;37.85
-122.26;140000.0;283.0;50.0;1120.0;D;264.0;697.0;2.125;37.85
-122.27;152500.0;347.0;52.0;1966.0;D;331.0;793.0;2.775;37.85
-122.27;155500.0;293.0;52.0;1228.0;D;303.0;648.0;21.202;37.85
-122.26;158700.0;455.0;50.0;2239.0;D;419.0;990.0;19.911;37.84
-122.27;162900.0;298.0;52.0;1503.0;D;275.0;690.0;26.033;37.84
-122.27;147500.0;184.0;40.0;751.0;D;166.0;409.0;13.578;37.85
-122.27;159800.0;367.0;42.0;1639.0;D;366.0;929.0;17.135;37.85
-122.27;113900.0;541.0;52.0;2436.0;D;478.0;1015.0;1.725;37.84
-122.27;99700.0;337.0;52.0;1688.0;D;325.0;853.0;21.806;37.84
-122.27;132600.0;437.0;52.0;2224.0;D;422.0;1006.0;2.6;37.84
-122.28;107500.0;123.0;41.0;535.0;D;119.0;317.0;24.038;37.85
-122.28;93800.0;244.0;49.0;1130.0;D;239.0;607.0;24.597;37.85
-122.28;105500.0;421.0;52.0;1898.0;D;397.0;1102.0;1.808;37.85
-122.28;108900.0;492.0;50.0;2082.0;D;473.0;1131.0;16.424;37.84
-122.28;132000.0;160.0;52.0;729.0;D;155.0;395.0;16.875;37.84
-122.28;122300.0;447.0;49.0;1916.0;D;378.0;863.0;19.274;37.84
-122.28;115200.0;481.0;52.0;2153.0;D;441.0;1168.0;19.615;37.84
-122.27;110400.0;409.0;48.0;1922.0;D;335.0;1026.0;17.969;37.84
-122.27;104900.0;366.0;49.0;1655.0;D;329.0;754.0;1.375;37.83
-122.27;109700.0;574.0;51.0;2665.0;D;536.0;1258.0;27.303;37.83
-122.27;97200.0;282.0;49.0;1215.0;D;264.0;570.0;14.861;37.83
-122.27;104500.0;432.0;48.0;1798.0;D;374.0;987.0;10.972;37.83
-122.28;103900.0;390.0;52.0;1511.0;D;403.0;901.0;14.103;37.83
-122.26;191400.0;330.0;52.0;1470.0;D;309.0;689.0;3.48;37.83
-122.26;176000.0;715.0;52.0;2432.0;D;696.0;1377.0;25.898;37.83
-122.26;155400.0;419.0;52.0;1665.0;D;395.0;946.0;20.978;37.83
