dia_semana;uf;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;condicao_metereologica;tracado_via
terca-feira;SP;Falta de Atencao Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Ceu Claro;Curva
terca-feira;PR;Falta de Atencao Conducao;Colisao traseira;Com Vitimas Feridas;Plena Noite;Nublado;Reta
terca-feira;SC;Animais na Pista;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;CE;Ingestao de Substancias Psicoativas;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Nublado;Viaduto
terca-feira;MG;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Plena Noite;Nublado;Intersecao de vias
terca-feira;SC;Ingestao de Substancias Psicoativas;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;MS;Animais na Pista;Atropelamento de Animal;Sem Vitimas;Plena Noite;Ceu Claro;Reta
terca-feira;GO;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;GO;Desobedincia nas normas de transito pelo pedestre;Atropelamento de Pedestre;Com Vitimas Fatais;Plena Noite;Chuva;Reta
terca-feira;RS;Ingestao de Alcool;Colisao frontal;Com Vitimas Feridas;Plena Noite;Nublado;Curva
terca-feira;MG;Desobediencia nas normas de transito pelo condutor;Colisao frontal;Com Vitimas Feridas;Plena Noite;Chuva;Intersecao de vias
terca-feira;SP;Ingestao de Alcool;Colisao frontal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;PR;Ingestao de Alcool;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Ceu Claro;Curva
terca-feira;MG;Velocidade Incompativel;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Nublado;Nao Informado
terca-feira;RJ;Velocidade Incompativel;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Garoa/Chuvisco;Curva
terca-feira;SC;Ingestao de Alcool e/ou substancias psicoativas pelo pedestre;Colisao com objeto estatico;Com Vitimas Feridas;Plena Noite;Ceu Claro;Nao Informado
terca-feira;PB;Falta de Atencao Conducao;Colisao frontal;Com Vitimas Fatais;Plena Noite;Nublado;Reta
terca-feira;RN;Desobediencia nas normas de transito pelo condutor;Colisao frontal;Com Vitimas Fatais;Plena Noite;Ceu Claro;Reta
terca-feira;RN;Falta de Atencao Conducao;Colisao lateral;Com Vitimas Feridas;Amanhecer;Ignorado;Reta
terca-feira;MG;Falta de Atencao Conducao;Atropelamento de Pedestre;Com Vitimas Fatais;Plena Noite;Nublado;Reta
terca-feira;RJ;Ingestao de Alcool;Colisao frontal;Com Vitimas Fatais;Plena Noite;Ceu Claro;Curva
terca-feira;MS;Ingestao de Alcool;Queda de ocupante de veiculo;Com Vitimas Feridas;Plena Noite;Nevoeiro/Neblina;Reta
terca-feira;MS;Ingestao de Alcool;Colisao frontal;Com Vitimas Fatais;Plena Noite;Ceu Claro;Reta
terca-feira;MG;Pista Escorregadia;Saida de leito carrocavel;Com Vitimas Feridas;Amanhecer;Chuva;Reta
terca-feira;PE;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Amanhecer;Ceu Claro;Reta
terca-feira;SE;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Nao Informado
terca-feira;DF;Falta de Atencao Conducao;Colisao lateral;Sem Vitimas;Pleno dia;Ceu Claro;Reta
terca-feira;MG;Falta de Atencao Conducao;Atropelamento de Pedestre;Com Vitimas Feridas;Plena Noite;Vento;Viaduto
terca-feira;MG;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Amanhecer;Nublado;Curva
terca-feira;SC;Condutor Dormindo;Colisao frontal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Reta
terca-feira;RJ;Falta de Atencao Conducao;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Ceu Claro;Curva
terca-feira;SC;Defeito Mecanico no Veiculo;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;PR;Sinalizacao da via insuficiente ou inadequada;Colisao transversal;Com Vitimas Feridas;Plena Noite;Ceu Claro;Intersecao de vias
terca-feira;RS;Ingestao de Alcool;Saida de leito carrocavel;Sem Vitimas;Plena Noite;Ceu Claro;Curva
terca-feira;DF;Falta de Atencao Conducao;Queda de ocupante de veiculo;Com Vitimas Feridas;Pleno dia;Ceu Claro;Rotatoria
terca-feira;CE;Animais na Pista;Atropelamento de Animal;Sem Vitimas;Amanhecer;Vento;Curva
terca-feira;TO;Ingestao de Alcool;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Ceu Claro;Reta
terca-feira;SC;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;MG;Condutor Dormindo;Saida de leito carrocavel;Com Vitimas Feridas;Amanhecer;Nublado;Curva
terca-feira;GO;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Amanhecer;Ceu Claro;Reta
terca-feira;RS;Ingestao de Alcool;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;Reta
terca-feira;PR;Desobediencia nas normas de transito pelo condutor;Colisao transversal;Com Vitimas Feridas;Pleno dia;Sol;Intersecao de vias
terca-feira;MT;Defeito Mecanico no Veiculo;Incendio;Sem Vitimas;Amanhecer;Garoa/Chuvisco;Reta
terca-feira;GO;Falta de Atencao Conducao;Colisao lateral;Sem Vitimas;Pleno dia;Ceu Claro;Reta
terca-feira;PR;Falta de Atencao Conducao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;MG;Pista Escorregadia;Capotamento;Com Vitimas Feridas;Pleno dia;Nublado;Reta
terca-feira;ES;Condutor Dormindo;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;PB;Ingestao de Alcool;Saida de leito carrocavel;Com Vitimas Fatais;Plena Noite;Ceu Claro;Reta
terca-feira;RS;Condutor Dormindo;Colisao frontal;Com Vitimas Fatais;Pleno dia;Ceu Claro;Reta
terca-feira;RJ;Ingestao de Alcool;Colisao com objeto estatico;Com Vitimas Feridas;Pleno dia;Ceu Claro;Reta
terca-feira;RO;Falta de Atencao Conducao;Colisao transversal;Com Vitimas Feridas;Pleno dia;Nublado;Intersecao de vias
