Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,23.133,23.243,22.706,22.879,44820205,0
2015-01-05,22.834,22.834,22.385,22.46,46035798,0
2015-01-06,22.332,22.432,21.847,21.974,69829228,0
2015-01-07,22.102,22.267,21.893,21.984,47800046,0
2015-01-08,22.203,22.258,22.03,22.248,47344162,0
2015-01-09,22.385,22.395,21.865,21.939,47236867,0
2015-01-12,21.974,22.039,21.701,21.893,46955535,0
2015-01-13,22.149,22.213,21.574,21.783,45095863,0
2015-01-14,21.591,21.774,21.371,21.71,45821437,0
2015-01-15,21.783,21.884,21.509,21.528,34473536,0
2015-01-16,21.465,21.591,21.409,21.537,54533128,0
2015-01-20,21.766,21.793,21.499,21.774,48767399,0
2015-01-21,21.756,21.984,21.647,21.947,41205687,0
2015-01-22,22.185,22.239,21.874,22.167,51614907,0
2015-01-23,22.303,22.723,22.176,22.35,69814199,0
2015-01-26,22.569,22.587,22.276,22.451,42908063,0
2015-01-27,22.295,22.332,22.095,22.258,42056596,0
2015-01-28,22.341,22.359,21.737,21.766,52727191,0
2015-01-29,21.766,22.095,21.71,21.984,44288773,0
2015-01-30,21.801,22.011,21.746,21.81,59925390,0
2015-02-02,21.91,22.111,21.82,22.102,43377740,0
2015-02-03,22.176,22.395,22.149,22.341,41318074,0
2015-02-04,22.286,22.303,21.984,22.058,36397880,0
2015-02-05,22.139,22.366,22.121,22.366,28082219,0
2015-02-06,22.404,22.595,22.341,22.385,30090654,0
2015-02-09,22.341,22.595,22.323,22.494,29837045,0
2015-02-10,22.612,22.642,22.414,22.569,29653558,0
2015-02-11,22.56,22.661,22.46,22.612,26785222,0
2015-02-12,22.652,22.815,22.56,22.723,29050160,0
2015-02-13,22.815,22.979,22.77,22.962,36227183,0
2015-02-17,22.934,23.014,22.805,22.979,39417612,0
2015-02-18,23.09,23.09,22.962,23.053,33669827,0
2015-02-19,23.063,23.227,22.987,23.044,36067378,0
2015-02-20,22.923,23.235,22.85,23.227,43294186,0
2015-02-23,23.235,23.31,23.125,23.191,33369485,0
2015-02-24,23.144,23.449,23.115,23.393,46077596,0
